Date,Open,High,Low,Close,Volume,Adj Close
2012-10-25,1.26,1.26,1.26,1.26,351800,1.26
2012-10-24,1.26,1.26,1.26,1.26,440200,1.26
2012-10-23,1.26,1.26,1.26,1.26,978200,1.26
2012-10-22,1.26,1.26,1.26,1.26,520800,1.26
2012-10-19,1.26,1.26,1.26,1.26,250300,1.26
2012-10-18,1.26,1.26,1.26,1.26,250400,1.26
2012-10-17,1.26,1.26,1.26,1.26,340900,1.26
2012-10-16,1.26,1.26,1.26,1.26,401500,1.26
2012-10-15,1.26,1.26,1.26,1.26,491300,1.26
2012-10-12,1.26,1.26,1.26,1.26,428000,1.26
2012-10-11,1.27,1.27,1.26,1.26,607400,1.26
2012-10-10,1.27,1.27,1.26,1.26,753400,1.26
2012-10-09,1.27,1.27,1.26,1.27,621400,1.27
2012-10-08,1.27,1.27,1.27,1.27,287900,1.27
2012-10-05,1.27,1.27,1.27,1.27,450300,1.27
2012-10-04,1.26,1.27,1.26,1.27,1404800,1.27
2012-10-03,1.26,1.26,1.26,1.26,774300,1.26
2012-10-02,1.26,1.26,1.21,1.26,977000,1.26
2012-10-01,1.26,1.27,1.26,1.26,518700,1.26
2012-09-28,1.26,1.27,1.26,1.26,750100,1.26
2012-09-27,1.24,1.26,1.24,1.26,2527200,1.26
2012-09-26,1.24,1.24,1.24,1.24,940300,1.24
2012-09-25,1.23,1.24,1.23,1.24,1326500,1.24
2012-09-24,1.23,1.23,1.23,1.23,380900,1.23
2012-09-21,1.23,1.23,1.23,1.23,1600800,1.23
2012-09-20,1.24,1.24,1.23,1.23,975300,1.23
2012-09-19,1.24,1.24,1.24,1.24,745700,1.24
2012-09-18,1.24,1.24,1.24,1.24,1385800,1.24
2012-09-17,1.24,1.24,1.24,1.24,894400,1.24
2012-09-14,1.24,1.25,1.24,1.24,1042300,1.24
2012-09-13,1.24,1.25,1.24,1.24,728100,1.24
2012-09-12,1.25,1.25,1.24,1.24,1224700,1.24
2012-09-11,1.25,1.25,1.25,1.25,812500,1.25
2012-09-10,1.25,1.25,1.25,1.25,688400,1.25
2012-09-07,1.25,1.25,1.25,1.25,475800,1.25
2012-09-06,1.25,1.25,1.25,1.25,1383300,1.25
2012-09-05,1.25,1.26,1.25,1.25,1353900,1.25
2012-09-04,1.26,1.26,1.25,1.25,1096400,1.25
2012-09-03,1.26,1.26,1.26,1.26,478600,1.26
2012-08-31,1.18,1.18,1.18,1.18,000,1.18
2012-08-30,1.26,1.26,1.26,1.26,469800,1.26
2012-08-29,1.26,1.26,1.26,1.26,580100,1.26
